Genus,CD,UC,non-IBD,CD vs non-IBD (LogFC Shift),UC vs non-IBD (LogFC Shift)
__Lachnospiraceae_UCG_008,3.6371025775717523,3.450771644388776,3.631087119672013,0.006015457899739118,-0.180315475283237
__Akkermansia,0.07237789790376588,-0.2222437865655073,0.9147830986340538,-0.8424052007302879,-1.137026885199561
__Oribacterium,-1.5204339666458335,-1.8792691436404731,-1.7151755639469324,0.19474159730109886,-0.16409357969354077
__Ruminococcus_1,-1.1047880203949965,-0.2706256374710161,0.6870561416156993,-1.7918441620106957,-0.9576817790867154
__Subdoligranulum,2.6466513567720753,3.172375565543474,3.9328751842707192,-1.286223827498644,-0.7604996187272453
__Ruminococcus_2,-0.6855273317881646,-0.3977444867049543,0.25904677680413435,-0.944574108592299,-0.6567912635090887
__Butyricicoccus,0.35835188709698146,1.0373497114218688,1.113590753391965,-0.7552388662949834,-0.07624104197009607
___Eubacterium_ventriosum_group,-1.013099716471368,-0.4181875595099518,-0.3842658374170664,-0.6288338790543015,-0.03392172209288541
__Anaerostipes,2.7023752421450786,3.0390701994644123,3.677069771314913,-0.9746945291698346,-0.6379995718505009
__Tyzzerella,-0.22607082904628661,0.4461183992566971,-0.4253700615100265,0.19929923246373987,0.8714884607667236
